compound,lap_age,track_temp,degradation_percent,lap_time_loss
Hard,9,26.6,3.0,0.14
Medium,5,18.2,3.8,0.151
Hard,24,32.7,9.11,0.385
Soft,24,17.1,52.1,2.431
Soft,37,35.8,100.0,4.417
Medium,14,42.4,24.04,1.008
Medium,38,23.2,55.85,2.721
Medium,44,52.9,100.0,4.112
Hard,26,18.3,8.54,0.337
Hard,42,34.2,15.57,0.66
Hard,20,35.9,6.65,0.281
Soft,39,31.6,100.0,4.805
Hard,28,48.5,11.93,0.559
Soft,20,22.7,69.17,3.573
Soft,23,27.7,100.0,4.229
Soft,40,54.8,100.0,5.08
Medium,39,29.7,67.92,3.462
Medium,36,27.8,57.11,2.832
Hard,10,31.6,3.13,0.121
Hard,15,33.0,4.97,0.243
Hard,44,24.7,15.52,0.658
Soft,15,45.6,100.0,4.268
Hard,11,23.1,3.73,0.178
Soft,11,26.6,41.33,1.86
Soft,24,54.8,100.0,4.453
Soft,21,19.1,61.42,2.844
Hard,26,23.0,8.66,0.338
Soft,6,33.6,26.79,1.371
Soft,33,44.7,100.0,4.338
Hard,31,30.5,11.82,0.496
Soft,17,42.2,100.0,4.702
Hard,24,53.8,9.46,0.454
Medium,17,18.0,17.86,0.727
Hard,42,52.7,16.29,0.661
Soft,6,29.4,22.4,0.884
Hard,40,53.3,16.19,0.696
Soft,30,20.2,100.0,4.34
Hard,23,16.7,7.54,0.369
Medium,34,29.5,53.3,2.494
Soft,15,28.4,75.66,3.051
Soft,16,16.4,26.93,1.293
Medium,15,16.8,14.89,0.585
Soft,14,39.5,96.23,4.156
Hard,38,20.4,12.28,0.575
Soft,17,17.1,33.68,1.63
Medium,35,46.8,83.48,3.942
Soft,21,29.6,100.0,4.149
Medium,37,37.2,70.08,2.826
Medium,13,39.5,21.82,0.922
Medium,37,37.4,63.58,2.728
Medium,31,43.5,58.94,2.942
Soft,33,15.1,62.86,3.027
Soft,25,40.2,100.0,4.735
Soft,19,25.1,90.29,3.905
Soft,29,47.3,100.0,4.382
Medium,22,46.3,43.44,2.111
Hard,2,40.8,0.65,0.033
Hard,31,49.6,13.41,0.642
Soft,12,21.8,32.24,1.343
Soft,3,31.0,9.13,0.42
Soft,27,49.1,100.0,4.967
Hard,15,30.3,4.9,0.227
Hard,5,48.8,2.05,0.083
Soft,9,36.9,48.37,2.383
Soft,10,37.2,63.7,3.224
Soft,17,15.1,25.55,1.197
Medium,19,20.5,21.13,0.978
Soft,18,24.6,69.88,3.325
Hard,3,15.6,0.77,0.031
Hard,38,21.9,13.2,0.533
Hard,15,28.3,5.23,0.259
Hard,6,43.6,2.07,0.085
Soft,38,27.9,100.0,4.684
